,Code,Description1
0,A1001007,Dressing for one wound
1,A2001007,Dressing for two wounds
2,A3001007,Dressing for three wounds
3,A4001007,Dressing for four wounds
4,A5001007,Dressing for five wounds
5,A6001007,Dressing for six wounds
6,A7001007,Dressing for seven wounds
7,A8001007,Dressing for eight wounds
8,A9001007,Dressing for nine or more wounds
9,AA001007,Anesthesia services performed personally by anesthesiologist
10,AB001007,Audiology service furnished personally by an audiologist without a
11,AB002008,physician/npp order for non-acute hearing assessment unrelated to
12,AB003008,"disequilibrium, or hearing aids, or examinations for the purpose of"
13,AB004008,"prescribing, fitting, or changing hearing aids; service may be performed once"
14,AB005008,"every 12 months, per beneficiary"
15,AD001007,Medical supervision by a physician: more than four concurrent anesthesia
16,AD002008,procedures
17,AE001007,Registered dietician
18,AF001007,Specialty physician
19,AG001007,Primary physician
20,AH001007,Clinical psychologist
21,AI001007,Principal physician of record
22,AJ001007,Clinical social worker
23,AK001007,Non participating physician
24,AM001007,"Physician, team member service"
25,AO001007,Alternate payment method declined by provider of service
26,AP001007,Determination of refractive state was not performed in the course of diagnostic
27,AP002008,ophthalmological examination
28,AQ001007,Physician providing a service in an unlisted health professional shortage area
29,AQ002008,(hpsa)
30,AR001007,Physician provider services in a physician scarcity area
31,AS001007,"Physician assistant, nurse practitioner, or clinical nurse specialist services"
32,AS002008,for assistant at surgery
33,AT001007,"Acute treatment (this modifier should be used when reporting service 98940,"
34,AT002008,"98941, 98942)"
35,AU001007,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply"
36,AV001007,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic"
37,AW001007,Item furnished in conjunction with a surgical dressing
38,AX001007,Item furnished in conjunction with dialysis services
39,AY001007,Item or service furnished to an esrd patient that is not for the treatment of
40,AY002008,esrd
41,AZ001007,Physician providing a service in a dental health professional shortage area for
42,AZ002008,the purpose of an electronic health record incentive payment
43,BA001007,Item furnished in conjunction with parenteral enteral nutrition (pen) services
44,BL001007,Special acquisition of blood and blood products
45,BO001007,"Orally administered nutrition, not by feeding tube"
46,BP001007,The beneficiary has been informed of the purchase and rental options and has
47,BP002008,elected to purchase the item
48,BR001007,The beneficiary has been informed of the purchase and rental options and has
49,BR002008,elected to rent the item
50,BU001007,The beneficiary has been informed of the purchase and rental options and after
51,BU002008,30 days has not informed the supplier of his/her decision
52,CA001007,Procedure payable only in the inpatient setting when performed emergently on an
53,CA002008,outpatient who expires prior to admission
54,CB001007,Service ordered by a renal dialysis facility (rdf) physician as part of the
55,CB002008,"esrd beneficiary's dialysis benefit, is not part of the composite rate, and is"
56,CB003008,separately reimbursable
57,CC001007,Procedure code change (use 'cc' when the procedure code submitted was changed
58,CC002008,either for administrative reasons or because an incorrect code was filed)
59,CD001007,Amcc test has been ordered by an esrd facility or mcp physician that is part of
60,CD002008,the composite rate and is not separately billable
61,CE001007,Amcc test has been ordered by an esrd facility or mcp physician that is a
62,CE002008,composite rate test but is beyond the normal frequency covered under the rate
63,CE003008,and is separately reimbursable based on medical necessity
64,CF001007,Amcc test has been ordered by an esrd facility or mcp physician that is not
65,CF002008,part of the composite rate and is separately billable
66,CG001007,Policy criteria applied
67,CH001007,"0 percent impaired, limited or restricted"
68,CI001007,"At least 1 percent but less than 20 percent impaired, limited or restricted"
69,CJ001007,"At least 20 percent but less than 40 percent impaired, limited or restricted"
70,CK001007,"At least 40 percent but less than 60 percent impaired, limited or restricted"
71,CL001007,"At least 60 percent but less than 80 percent impaired, limited or restricted"
72,CM001007,"At least 80 percent but less than 100 percent impaired, limited or restricted"
73,CN001007,"100 percent impaired, limited or restricted"
74,CO001007,Outpatient occupational therapy services furnished in whole or in part by an
75,CO002008,occupational therapy assistant
76,CP001007,Adjunctive service related to a procedure assigned to a comprehensive
77,CP002008,"ambulatory payment classification (c-apc) procedure, but reported on a"
78,CP003008,different claim
79,CQ001007,Outpatient physical therapy services furnished in whole or in part by a
80,CQ002008,physical therapist assistant
81,CR001007,Catastrophe/disaster related
82,CS001007,Cost-sharing waived for specified covid-19 testing-related services that result
83,CS002008,in and order for or administration of a covid-19 test and/or used for
84,CS003008,cost-sharing waived preventive services furnished via telehealth in rural
85,CS004008,health clinics and federally qualified health centers during the covid-19
86,CS005008,public health emergency
87,CT001007,Computed tomography services furnished using equipment that does not meet each
88,CT002008,of the attributes of the national electrical manufacturers association (nema)
89,CT003008,xr-29-2013 standard
90,DA001007,Oral health assessment by a licensed health professional other than a dentist
91,E1001007,"Upper left, eyelid"
92,E2001007,"Lower left, eyelid"
93,E3001007,"Upper right, eyelid"
94,E4001007,"Lower right, eyelid"
95,EA001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to
96,EA002008,anti-cancer chemotherapy
97,EB001007,Erythropoietic stimulating agent (esa) administered to treat anemia due to
98,EB002008,anti-cancer radiotherapy
99,EC001007,Erythropoietic stimulating agent (esa) administered to treat anemia not due to
100,EC002008,anti-cancer radiotherapy or anti-cancer chemotherapy
101,ED001007,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl)
102,ED002008,for 3 or more consecutive billing cycles immediately prior to and including the
103,ED003008,current cycle
104,EE001007,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded
105,EE002008,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and
106,EE003008,including the current cycle
107,EJ001007,"Subsequent claims for a defined course of therapy, e.g., epo, sodium"
108,EJ002008,"hyaluronate, infliximab"
109,EM001007,Emergency reserve supply (for esrd benefit only)
110,EP001007,Service provided as part of medicaid early periodic screening diagnosis and
111,EP002008,treatment (epsdt) program
112,ER001007,"Items and services furnished by a provider-based, off-campus emergency"
113,ER002008,department
114,ET001007,Emergency services
115,EX001007,Expatriate beneficiary
116,EY001007,No physician or other licensed health care provider order for this item or
117,EY002008,service
118,F1001007,"Left hand, second digit"
119,F2001007,"Left hand, third digit"
120,F3001007,"Left hand, fourth digit"
121,F4001007,"Left hand, fifth digit"
122,F5001007,"Right hand, thumb"
123,F6001007,"Right hand, second digit"
124,F7001007,"Right hand, third digit"
125,F8001007,"Right hand, fourth digit"
126,F9001007,"Right hand, fifth digit"
127,FA001007,"Left hand, thumb"
128,FB001007,"Item provided without cost to provider, supplier or practitioner, or full"
129,FB002008,"credit received for replaced device (examples, but not limited to, covered"
130,FB003008,"under warranty, replaced due to defect, free samples)"
131,FC001007,Partial credit received for replaced device
132,FP001007,Service provided as part of family planning program
133,FQ001007,The service was furnished using audio-only communication technology
134,FR001007,"The supervising practitioner was present through two-way, audio/video"
135,FR002008,communication technology
136,FS001007,Split (or shared) evaluation and management visit
137,FT001007,Unrelated evaluation and management (e/m) visit on the same day as another e/m
138,FT002008,"visit or during a global procedure (preoperative, postoperative period, or on"
139,FT003008,"the same day as the procedure, as applicable). (report when an e/m visit is"
140,FT004008,"furnished within the global period but is unrelated, or when one or more"
141,FT005008,additional e/m visits furnished on the same day are unrelated)
142,FX001007,X-ray taken using film
143,FY001007,X-ray taken using computed radiography technology/cassette-based imaging
144,G0001007,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an"
145,G0002008,acute stroke
146,G1001007,Most recent urr reading of less than 60
147,G2001007,Most recent urr reading of 60 to 64.9
148,G3001007,Most recent urr reading of 65 to 69.9
149,G4001007,Most recent urr reading of 70 to 74.9
150,G5001007,Most recent urr reading of 75 or greater
151,G6001007,Esrd patient for whom less than six dialysis sessions have been provided in a
152,G6002008,month
153,G7001007,Pregnancy resulted from rape or incest or pregnancy certified by physician as
154,G7002008,life threatening
155,G8001007,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly"
156,G8002008,invasive surgical procedure
157,G9001007,Monitored anesthesia care for patient who has history of severe
158,G9002008,cardio-pulmonary condition
159,GA001007,"Waiver of liability statement issued as required by payer policy, individual"
160,GA002008,case
161,GB001007,Claim being re-submitted for payment because it is no longer covered under a
162,GB002008,global payment demonstration
163,GC001007,This service has been performed in part by a resident under the direction of a
164,GC002008,teaching physician
165,GD001007,Units of service exceeds medically unlikely edit value and represents
166,GD002008,reasonable and necessary services
167,GE001007,This service has been performed by a resident without the presence of a
168,GE002008,teaching physician under the primary care exception
169,GF001007,"Non-physician (e.g. nurse practitioner (np), certified registered nurse"
170,GF002008,"anesthetist (crna), certified registered nurse (crn), clinical nurse specialist"
171,GF003008,"(cns), physician assistant (pa)) services in a critical access hospital"
172,GG001007,Performance and payment of a screening mammogram and diagnostic mammogram on
173,GG002008,"the same patient, same day"
174,GH001007,Diagnostic mammogram converted from screening mammogram on same day
175,GJ001007,"""opt out"" physician or practitioner emergency or urgent service"
176,GK001007,Reasonable and necessary item/service associated with a ga or gz modifier
177,GL001007,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge,"
178,GL002008,no advance beneficiary notice (abn)
179,GM001007,Multiple patients on one ambulance trip
180,GN001007,Services delivered under an outpatient speech language pathology plan of care
181,GO001007,Services delivered under an outpatient occupational therapy plan of care
182,GP001007,Services delivered under an outpatient physical therapy plan of care
183,GQ001007,Via asynchronous telecommunications system
184,GR001007,This service was performed in whole or in part by a resident in a department of
185,GR002008,"veterans affairs medical center or clinic, supervised in accordance with va"
186,GR003008,policy
187,GS001007,Dosage of erythropoietin stimulating agent has been reduced and maintained in
188,GS002008,response to hematocrit or hemoglobin level
189,GT001007,Via interactive audio and video telecommunication systems
190,GU001007,"Waiver of liability statement issued as required by payer policy, routine notic"
191,GV001007,Attending physician not employed or paid under arrangement by the patient's
192,GV002008,hospice provider
193,GW001007,Service not related to the hospice patient's terminal condition
194,GX001007,"Notice of liability issued, voluntary under payer policy"
195,GY001007,"Item or service statutorily excluded, does not meet the definition of any"
196,GY002008,"medicare benefit or, for non-medicare insurers, is not a contract benefit"
197,GZ001007,Item or service expected to be denied as not reasonable and necessary
