,code,description,category,last_updated
0,A00,Cholera,Cholera,2025-09-07
1,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",Cholera,2025-09-07
2,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera,2025-09-07
3,A009,"Cholera, unspecified",Cholera,2025-09-07
4,A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,2025-09-07
5,A010,Typhoid fever,Typhoid and paratyphoid fevers,2025-09-07
6,A011,Paratyphoid fever A,Typhoid and paratyphoid fevers,2025-09-07
7,A012,Paratyphoid fever B,Typhoid and paratyphoid fevers,2025-09-07
8,A013,Paratyphoid fever C,Typhoid and paratyphoid fevers,2025-09-07
9,A014,"Paratyphoid fever, unspecified",Typhoid and paratyphoid fevers,2025-09-07
10,A02,Other salmonella infections,Other salmonella infections,2025-09-07
11,A020,Salmonella enteritis,Other salmonella infections,2025-09-07
12,A021,Salmonella sepsis,Other salmonella infections,2025-09-07
13,A022,Localized salmonella infections,Other salmonella infections,2025-09-07
14,A028,Other specified salmonella infections,Other salmonella infections,2025-09-07
15,A029,"Salmonella infection, unspecified",Other salmonella infections,2025-09-07
16,A03,Shigellosis,Shigellosis,2025-09-07
17,A030,Shigellosis due to Shigella dysenteriae,Shigellosis,2025-09-07
18,A031,Shigellosis due to Shigella flexneri,Shigellosis,2025-09-07
19,A032,Shigellosis due to Shigella boydii,Shigellosis,2025-09-07
20,A033,Shigellosis due to Shigella sonnei,Shigellosis,2025-09-07
21,A038,Other shigellosis,Shigellosis,2025-09-07
22,A039,"Shigellosis, unspecified",Shigellosis,2025-09-07
23,A04,Other bacterial intestinal infections,Other bacterial intestinal infections,2025-09-07
24,A040,Enteropathogenic Escherichia coli infection,Other bacterial intestinal infections,2025-09-07
25,A041,Enterotoxigenic Escherichia coli infection,Other bacterial intestinal infections,2025-09-07
26,A042,Enteroinvasive Escherichia coli infection,Other bacterial intestinal infections,2025-09-07
27,A043,Enterohaemorrhagic Escherichia coli infection,Other bacterial intestinal infections,2025-09-07
28,A044,Other intestinal Escherichia coli infections,Other bacterial intestinal infections,2025-09-07
29,A045,Campylobacter enteritis,Other bacterial intestinal infections,2025-09-07
30,A046,Enteritis due to Yersinia enterocolitica,Other bacterial intestinal infections,2025-09-07
31,A047,Enterocolitis due to Clostridium difficile,Other bacterial intestinal infections,2025-09-07
32,A048,Other specified bacterial intestinal infections,Other bacterial intestinal infections,2025-09-07
33,A049,"Bacterial intestinal infection, unspecified",Other bacterial intestinal infections,2025-09-07
34,A05,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
35,A050,Foodborne staphylococcal intoxication,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
36,A051,Botulism,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
37,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
38,A053,Foodborne Vibrio parahaemolyticus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
39,A054,Foodborne Bacillus cereus intoxication,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
40,A058,Other specified bacterial foodborne intoxications,"Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
41,A059,"Bacterial foodborne intoxication, unspecified","Other bacterial foodborne intoxications, not elsewhere classified",2025-09-07
42,A06,Amoebiasis,Amoebiasis,2025-09-07
43,A060,Acute amoebic dysentery,Amoebiasis,2025-09-07
44,A061,Chronic intestinal amoebiasis,Amoebiasis,2025-09-07
45,A062,Amoebic nondysenteric colitis,Amoebiasis,2025-09-07
46,A063,Amoeboma of intestine,Amoebiasis,2025-09-07
47,A064,Amoebic liver abscess,Amoebiasis,2025-09-07
48,A065,Amoebic lung abscess,Amoebiasis,2025-09-07
49,A066,Amoebic brain abscess,Amoebiasis,2025-09-07
50,A067,Cutaneous amoebiasis,Amoebiasis,2025-09-07
51,A068,Amoebic infection of other sites,Amoebiasis,2025-09-07
52,A069,"Amoebiasis, unspecified",Amoebiasis,2025-09-07
53,A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,2025-09-07
54,A070,Balantidiasis,Other protozoal intestinal diseases,2025-09-07
55,A071,Giardiasis [lambliasis],Other protozoal intestinal diseases,2025-09-07
56,A072,Cryptosporidiosis,Other protozoal intestinal diseases,2025-09-07
57,A073,Isosporiasis,Other protozoal intestinal diseases,2025-09-07
58,A078,Other specified protozoal intestinal diseases,Other protozoal intestinal diseases,2025-09-07
59,A079,"Protozoal intestinal disease, unspecified",Other protozoal intestinal diseases,2025-09-07
60,A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections,2025-09-07
61,A080,Rotaviral enteritis,Viral and other specified intestinal infections,2025-09-07
62,A081,Acute gastroenteropathy due to Norovirus,Viral and other specified intestinal infections,2025-09-07
63,A082,Adenoviral enteritis,Viral and other specified intestinal infections,2025-09-07
64,A083,Other viral enteritis,Viral and other specified intestinal infections,2025-09-07
65,A084,"Viral intestinal infection, unspecified",Viral and other specified intestinal infections,2025-09-07
66,A085,Other specified intestinal infections,Viral and other specified intestinal infections,2025-09-07
67,A09,Other gastroenteritis and colitis of infectious and unspecified origin,Other gastroenteritis and colitis of infectious and unspecified origin,2025-09-07
68,A090,Other and unspecified gastroenteritis and colitis of infectious origin,Other gastroenteritis and colitis of infectious and unspecified origin,2025-09-07
69,A099,Gastroenteritis and colitis of unspecified origin,Other gastroenteritis and colitis of infectious and unspecified origin,2025-09-07
70,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
71,A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
72,A151,"Tuberculosis of lung, confirmed by culture only","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
73,A152,"Tuberculosis of lung, confirmed histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
74,A153,"Tuberculosis of lung, confirmed by unspecified means","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
75,A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
76,A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
77,A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
78,A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
79,A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
80,A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-07
81,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
82,A160,"Tuberculosis of lung, bacteriologically and histologically negative","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
83,A161,"Tuberculosis of lung, bacteriological and histological examination not done","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
84,A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
85,A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
86,A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
87,A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
88,A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
89,A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
90,A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-07
91,A17,Tuberculosis of nervous system,Tuberculosis of nervous system,2025-09-07
92,A170,Tuberculous meningitis,Tuberculosis of nervous system,2025-09-07
93,A171,Meningeal tuberculoma,Tuberculosis of nervous system,2025-09-07
94,A178,Other tuberculosis of nervous system,Tuberculosis of nervous system,2025-09-07
95,A179,"Tuberculosis of nervous system, unspecified",Tuberculosis of nervous system,2025-09-07
96,A18,Tuberculosis of other organs,Tuberculosis of other organs,2025-09-07
97,A180,Tuberculosis of bones and joints,Tuberculosis of other organs,2025-09-07
98,A181,Tuberculosis of genitourinary system,Tuberculosis of other organs,2025-09-07
99,A182,Tuberculous peripheral lymphadenopathy,Tuberculosis of other organs,2025-09-07
100,A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",Tuberculosis of other organs,2025-09-07
101,A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of other organs,2025-09-07
102,A185,Tuberculosis of eye,Tuberculosis of other organs,2025-09-07
103,A186,Tuberculosis of ear,Tuberculosis of other organs,2025-09-07
104,A187,Tuberculosis of adrenal glands,Tuberculosis of other organs,2025-09-07
105,A188,Tuberculosis of other specified organs,Tuberculosis of other organs,2025-09-07
106,A19,Miliary tuberculosis,Miliary tuberculosis,2025-09-07
107,A190,Acute miliary tuberculosis of a single specified site,Miliary tuberculosis,2025-09-07
108,A191,Acute miliary tuberculosis of multiple sites,Miliary tuberculosis,2025-09-07
109,A192,"Acute miliary tuberculosis, unspecified",Miliary tuberculosis,2025-09-07
110,A198,Other miliary tuberculosis,Miliary tuberculosis,2025-09-07
111,A199,"Miliary tuberculosis, unspecified",Miliary tuberculosis,2025-09-07
112,A20,Plague,Plague,2025-09-07
113,A200,Bubonic plague,Plague,2025-09-07
114,A201,Cellulocutaneous plague,Plague,2025-09-07
115,A202,Pneumonic plague,Plague,2025-09-07
116,A203,Plague meningitis,Plague,2025-09-07
117,A207,Septicaemic plague,Plague,2025-09-07
